,address,timestamp,amountStaked
0,0xb42f5a41b62b52616598cfd1a0d3a01846bfa888,2022-03-13T02:03:20,100
1,0x65aaeec60c6149bf18753f5d2c361ecbba22651a,2022-03-14T08:36:52,10
2,0x5d9a5ebae5828cd8d15166666d45d53f0b871bb4,2022-03-14T10:40:24,1
3,0xae4281d74056f3975941b66daf324bb893279cf0,2022-03-14T17:42:03,10
4,0xae4281d74056f3975941b66daf324bb893279cf0,2022-03-30T16:03:22,10
5,0x7a247ff3d9be7a89b5f71206ec1ca3f8684bb5c3,2022-03-16T08:01:30,1
6,0x1040a43093b700d9bfe90346990afaa4d1151508,2022-03-16T10:22:42,511
7,0x1c721671916560c9ab5b7c5406e152b750eb03a2,2022-03-16T23:31:36,511
8,0x76feb15406fd0637b95c871bfa8c71fbb1854dd0,2022-03-19T07:22:41,100
9,0x843aa999827ae6d187f8a5b6ab4afb1b1597551d,2022-03-19T10:20:50,2
10,0x446ccd4633512f321b400cf89c1877f8307f6c26,2022-03-19T11:36:25,24
11,0x4d5daadc1bf9aa1c023fe1a9f75545b3863dfd14,2022-03-20T06:40:23,102
12,0x9b2b78003e469a342977e0a078f6aef88077acd9,2022-03-20T06:58:24,101
13,0xdf6c74e0387570344c4c36ff77c79fd805c5b5f7,2022-03-20T07:02:55,100
14,0x677f0fb523ecfe8343560ddcaac47e1eab34409a,2022-03-20T07:08:18,100
15,0xc92c4df3dd076d3ef60f2c6c533ee16616f4d8a5,2022-03-20T07:32:28,2
16,0xfc0591893b0bdb4322d25bdd43904aa9ab137140,2022-03-20T07:56:00,103
17,0xaaa017530e01e7bf6d69f29756870f4dd09b74d6,2022-03-20T08:38:51,2
18,0x37d8fa18bd09ed448e93ecd47641019d91eb43a4,2022-03-20T08:46:10,65
19,0xbaa3a36ade58a3593972b7728a97916ed82ee371,2022-03-20T08:56:58,112
20,0x014607f2d6477badd9d74bf2c5d6356e29a9b957,2022-03-21T06:55:06,110
21,0x6058f8e21d7d736b574e80c2b57e73fdf360bae0,2022-03-21T13:20:36,66
22,0x25ad2667b19e866109c1a93102b816730a6aec3f,2022-03-22T12:43:22,10
23,0x4c1f58d3ded593b018ca2ec4228399df39cfdd6f,2022-03-22T13:15:21,203
24,0x8c302250f1f5f4a933b7a62b52e998b0a40c3917,2022-03-23T10:49:12,500
25,0xafbe2fe7325418ac50337ace4cd86ee0bfa245c7,2022-03-23T12:19:15,550
26,0x9a4a43a48f6bd53fef42b1565f14d24e1f9f41e8,2022-03-24T08:39:06,105
27,0x13711b99539d2860aa740c0180a50627d538c28e,2022-03-25T13:10:46,100
28,0x3255d4b48d108cfd7a6d71d0722ff845f9213a13,2022-03-26T12:30:22,105
29,0xdf839bbbe062ae73493a6961fc34849b53f1c154,2022-03-27T02:48:43,500
30,0xdf839bbbe062ae73493a6961fc34849b53f1c154,2022-04-08T05:45:16,500
31,0xc134041a85edbb3bd9cae36a32486454c1c6e134,2022-03-29T04:51:43,1487
32,0xc134041a85edbb3bd9cae36a32486454c1c6e134,2022-04-07T18:22:49,2672
33,0x6715fd4994379ff0b1bc3d0bd3d599f83e9ec4be,2022-03-29T08:29:44,120
34,0x643430283b19fa5bd70a1138b495c2b43523cdd5,2022-03-30T15:03:56,100000
35,0x643430283b19fa5bd70a1138b495c2b43523cdd5,2022-03-30T16:06:49,100000
36,0xc5614f397051e6db3bfabf9813c6c9b57f232783,2022-03-30T15:23:43,1000000
37,0xb8c9d38ba6924095062a92a581326a3ececf62d9,2022-03-30T15:47:54,20001
38,0x710dc8c61b177687f1e3c085f694896cdc438209,2022-03-30T16:00:53,12016
39,0xd9f0834e7ca9b9262df3189b850ebf9514027e82,2022-03-30T16:01:32,29990
40,0xcd52e48d1f34a6498af641a5afa66376f85775c7,2022-03-30T16:03:01,1000000
41,0xcd52e48d1f34a6498af641a5afa66376f85775c7,2022-04-07T16:32:53,69996
42,0xfda5bb18e3f47ea9b3d5689c3cd896d4ddd41eca,2022-03-30T16:03:35,2327
43,0x6a356be9b82e09bcff191baa639cf6012c63addd,2022-03-30T16:03:56,4123
44,0xc29d294b9c254d20ba7e20923f31a8fe91d4faeb,2022-03-30T16:05:07,30000
45,0xdeb263240eadf03bffdc6036ce652fe4cec96d2c,2022-03-30T16:08:47,569
46,0xdeb263240eadf03bffdc6036ce652fe4cec96d2c,2022-04-08T14:19:50,652
47,0x5ebc7a6f0ecbc069065fce49b0ed28b5e6dbdaf8,2022-03-30T16:13:26,1000
48,0x87a427c0a3508705f7f7d0c8b90e270f4f3d8268,2022-03-30T16:13:26,1075
49,0xf6c719dc30fd8a3b8f23d075ddc4e4b00fa2736d,2022-03-30T16:14:08,500
50,0x06aa5e77cf3bec21129ddbf29b531ed742a4109c,2022-03-30T16:20:06,10154
51,0x70af29f754988473fcaba6e01abfbaff871046d1,2022-03-30T16:22:57,5000
52,0x874d561afa3e120bf9bd2aad7a435cf0d4656989,2022-03-30T16:30:15,1000
53,0x5811b5d57cb3f803151768fea0d22046b1ebd65c,2022-03-30T16:37:21,24641
54,0x6a04941de896e4215eeb8e6eb1b72ad2904d2402,2022-03-30T17:20:07,750000
55,0x6e93ebc8302890ff1d1befd779d1db131ef30d4d,2022-03-30T17:20:39,250000
56,0x1b50adc3c74b4f3a2a4307fe714c853634139e45,2022-03-30T17:42:35,80000
57,0xcf2e0814ddf1587e06a66b479de3d0b7b151e5b8,2022-03-30T17:44:40,1015
58,0x5c44368c0ad4c446842738bdbf8f2bbf9876546e,2022-03-30T18:27:38,30000
59,0x825ae6fb177186e9551ab1cdd6d4ab10b22a0dba,2022-03-30T18:49:24,18000
60,0xa1ed36fe9e4a32737472ea0dd632825e73cb2943,2022-03-30T18:58:22,500
61,0x308bff328370fc4a9683ab9fcd79a21be6dc5ee4,2022-03-30T20:01:00,30281
62,0xf616959cfc26d7d734c28f4437d5b4d25af13b2e,2022-03-30T22:47:46,3386
