,Unnamed: 0,#,Address,Quantity,Percentage,7d Change,Address.1,prub
0,0,1,0x00000000219ab540356cbb839cbe05303d7705fa Eth2 Deposit Contract,13197685,11.00%,35440,0x00000000219ab540356cbb839cbe05303d7705fa Eth2 Deposit Contract,0x00000000219ab540356cbb839cbe05303d7705fa
1,1,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 Wrapped Ether,4373789,3.65%,35460,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2,2,3,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf Kraken 13,2113030,1.76%,--,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf Kraken 13,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf
3,3,4,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8 Binance 7,1996008,1.66%,--,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8 Binance 7,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8
4,4,5,0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,1950477,1.63%,0,0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0
5,5,6,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1490000,1.24%,--,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59
6,6,7,0xf977814e90da44bfa03b6295a0616a897441acec Binance 8,1314667,1.10%,323363,0xf977814e90da44bfa03b6295a0616a897441acec Binance 8,0xf977814e90da44bfa03b6295a0616a897441acec
7,7,8,0x742d35cc6634c0532925a3b844bc454e4438f44e Bitfinex 2,1221545,1.02%,-106894,0x742d35cc6634c0532925a3b844bc454e4438f44e Bitfinex 2,0x742d35cc6634c0532925a3b844bc454e4438f44e
8,8,9,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515 Arbitrum: Bridge,687506,0.57%,4899,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515 Arbitrum: Bridge,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515
9,9,10,0x07ee55aa48bb72dcc6e9d78256648910de513eca Gemini: Contract 1,685495,0.57%,--,0x07ee55aa48bb72dcc6e9d78256648910de513eca Gemini: Contract 1,0x07ee55aa48bb72dcc6e9d78256648910de513eca
10,10,11,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5 Compound: cETH Token,504308,0.42%,-28068,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5 Compound: cETH Token,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5
11,11,12,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea Gemini 3,479499,0.40%,--,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea Gemini 3,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea
12,12,13,0xa7efae728d2936e78bda97dc267687568dd593f3 OKEx 3,469299,0.39%,-11141,0xa7efae728d2936e78bda97dc267687568dd593f3 OKEx 3,0xa7efae728d2936e78bda97dc267687568dd593f3
13,13,14,0xe92d1a43df510f82c66382592a047d288f85226f,450000,0.38%,--,0xe92d1a43df510f82c66382592a047d288f85226f,0xe92d1a43df510f82c66382592a047d288f85226f
14,14,15,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30 Polygon (Matic): Ether Bridge,349478,0.29%,13569,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30 Polygon (Matic): Ether Bridge,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30
15,15,16,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,347300,0.29%,--,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2
16,16,17,0x0548f59fee79f8832c299e01dca5c76f034f558e OTC: 0x054...58e,344957,0.29%,46391,0x0548f59fee79f8832c299e01dca5c76f034f558e OTC: 0x054...58e,0x0548f59fee79f8832c299e01dca5c76f034f558e
17,17,18,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94 FTX Exchange 2,342671,0.29%,38302,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94 FTX Exchange 2,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94
18,18,19,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae EthDev,342271,0.29%,-1000,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae EthDev,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae
19,19,20,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f Liquity: Active Pool,332893,0.28%,-10010,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f Liquity: Active Pool,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f
